,setmana_epidemiologica,any,data_inici,data_final,casos,hospitalitzacions,uci,defuncions
0,1,2020,2019-12-30,2020-01-05,76,0,0,0
3,2,2020,2020-01-06,2020-01-12,74,0,0,0
6,3,2020,2020-01-13,2020-01-19,46,0,0,0
9,4,2020,2020-01-20,2020-01-26,55,0,0,0
12,5,2020,2020-01-27,2020-02-02,128,0,0,0
15,6,2020,2020-02-03,2020-02-09,80,0,0,0
18,7,2020,2020-02-10,2020-02-16,125,0,0,0
21,8,2020,2020-02-17,2020-02-23,128,0,0,0
24,9,2020,2020-02-24,2020-03-01,389,0,0,0
27,10,2020,2020-03-02,2020-03-08,760,0,0,7
30,11,2020,2020-03-09,2020-03-15,5709,0,0,160
33,12,2020,2020-03-16,2020-03-22,27032,0,636,664
36,13,2020,2020-03-23,2020-03-29,34831,0,1270,2058
39,14,2020,2020-03-30,2020-04-05,25727,0,1504,2652
42,15,2020,2020-04-06,2020-04-12,18427,0,1409,2369
45,16,2020,2020-04-13,2020-04-19,16159,0,1124,1691
48,17,2020,2020-04-20,2020-04-26,11494,0,817,1083
51,18,2020,2020-04-27,2020-05-03,7559,2207,579,717
54,19,2020,2020-05-04,2020-05-10,6671,1490,389,485
57,20,2020,2020-05-11,2020-05-17,6414,1062,293,241
60,21,2020,2020-05-18,2020-05-24,5366,785,203,174
63,22,2020,2020-05-25,2020-05-31,4494,590,162,113
66,23,2020,2020-06-01,2020-06-07,3730,450,120,75
69,24,2020,2020-06-08,2020-06-14,3443,335,82,52
72,25,2020,2020-06-15,2020-06-21,3223,273,61,42
75,26,2020,2020-06-22,2020-06-28,2915,258,56,23
78,27,2020,2020-06-29,2020-07-05,4053,241,45,28
81,28,2020,2020-07-06,2020-07-12,6397,282,46,24
84,29,2020,2020-07-13,2020-07-19,10833,400,58,21
87,30,2020,2020-07-20,2020-07-26,17581,533,76,60
90,31,2020,2020-07-27,2020-08-02,19294,621,103,73
93,32,2020,2020-08-03,2020-08-09,18880,583,120,59
96,33,2020,2020-08-10,2020-08-16,19475,641,129,71
99,34,2020,2020-08-17,2020-08-23,21817,673,137,69
102,35,2020,2020-08-24,2020-08-30,23266,703,148,75
105,36,2020,2020-08-31,2020-09-06,21670,727,143,81
108,37,2020,2020-09-07,2020-09-13,18567,815,160,68
111,38,2020,2020-09-14,2020-09-20,25194,791,150,87
114,39,2020,2020-09-21,2020-09-27,32102,799,156,88
117,40,2020,2020-09-28,2020-10-04,34841,837,172,100
120,41,2020,2020-10-05,2020-10-11,35398,967,185,124
123,42,2020,2020-10-12,2020-10-18,35949,1326,261,158
126,43,2020,2020-10-19,2020-10-25,49007,2069,373,239
129,44,2020,2020-10-26,2020-11-01,44543,2687,507,405
132,45,2020,2020-11-02,2020-11-08,36490,2792,578,509
135,46,2020,2020-11-09,2020-11-15,25858,2565,589,465
138,47,2020,2020-11-16,2020-11-22,18929,2140,514,413
140,48,2020,2020-11-23,2020-11-29,15386,1774,458,344
142,49,2020,2020-11-30,2020-12-06,13798,1608,394,332
144,50,2020,2020-12-07,2020-12-13,14086,1562,344,276
146,51,2020,2020-12-14,2020-12-20,20065,1666,326,244
148,52,2020,2020-12-21,2020-12-27,19253,1784,338,281
150,53,2020,2020-12-28,2021-01-03,24456,2145,388,359
1,1,2021,2021-01-04,2021-01-10,29299,2423,470,385
4,2,2021,2021-01-11,2021-01-17,33988,2832,550,495
7,3,2021,2021-01-18,2021-01-24,32377,3075,683,570
10,4,2021,2021-01-25,2021-01-31,30413,3141,728,594
13,5,2021,2021-02-01,2021-02-07,25592,2751,694,440
16,6,2021,2021-02-08,2021-02-14,20268,2367,633,340
19,7,2021,2021-02-15,2021-02-21,19066,2018,588,275
22,8,2021,2021-02-22,2021-02-28,17361,1769,532,201
25,9,2021,2021-03-01,2021-03-07,16133,1629,500,184
28,10,2021,2021-03-08,2021-03-14,15530,1541,427,158
31,11,2021,2021-03-15,2021-03-21,16332,1419,412,120
34,12,2021,2021-03-22,2021-03-28,17874,1474,404,117
37,13,2021,2021-03-29,2021-04-04,15072,1602,431,148
40,14,2021,2021-04-05,2021-04-11,17660,1772,516,157
43,15,2021,2021-04-12,2021-04-18,17847,1711,505,146
46,16,2021,2021-04-19,2021-04-25,18165,1663,504,115
49,17,2021,2021-04-26,2021-05-02,17091,1616,477,106
52,18,2021,2021-05-03,2021-05-09,14446,1383,439,108
55,19,2021,2021-05-10,2021-05-16,11152,1140,397,58
58,20,2021,2021-05-17,2021-05-23,9577,869,306,39
61,21,2021,2021-05-24,2021-05-30,8871,757,256,35
64,22,2021,2021-05-31,2021-06-06,8155,610,203,25
67,23,2021,2021-06-07,2021-06-13,7377,541,179,22
70,24,2021,2021-06-14,2021-06-20,7281,473,149,19
73,25,2021,2021-06-21,2021-06-27,9853,463,131,15
76,26,2021,2021-06-28,2021-07-04,36752,546,123,14
79,27,2021,2021-07-05,2021-07-11,56570,993,184,22
82,28,2021,2021-07-12,2021-07-18,58395,1698,307,70
85,29,2021,2021-07-19,2021-07-25,46651,2238,511,185
88,30,2021,2021-07-26,2021-08-01,31986,2299,574,230
91,31,2021,2021-08-02,2021-08-08,21423,1976,582,202
94,32,2021,2021-08-09,2021-08-15,16122,1734,517,208
97,33,2021,2021-08-16,2021-08-22,12697,1424,461,161
100,34,2021,2021-08-23,2021-08-29,10012,1153,399,102
103,35,2021,2021-08-30,2021-09-05,8098,960,321,84
106,36,2021,2021-09-06,2021-09-12,6848,735,266,85
109,37,2021,2021-09-13,2021-09-19,6372,596,204,51
112,38,2021,2021-09-20,2021-09-26,6587,486,162,37
115,39,2021,2021-09-27,2021-10-03,7734,414,126,25
118,40,2021,2021-10-04,2021-10-10,6362,354,103,20
121,41,2021,2021-10-11,2021-10-17,5273,344,91,18
124,42,2021,2021-10-18,2021-10-24,5795,354,90,13
127,43,2021,2021-10-25,2021-10-31,5727,328,86,11
130,44,2021,2021-11-01,2021-11-07,5591,320,79,10
133,45,2021,2021-11-08,2021-11-14,8758,380,90,30
136,46,2021,2021-11-15,2021-11-21,11611,520,108,27
139,47,2021,2021-11-22,2021-11-28,16241,639,143,36
141,48,2021,2021-11-29,2021-12-05,22038,747,180,62
143,49,2021,2021-12-06,2021-12-12,27073,1083,242,69
145,50,2021,2021-12-13,2021-12-19,48298,1296,321,139
147,51,2021,2021-12-20,2021-12-26,96144,1471,396,157
149,52,2021,2021-12-27,2022-01-02,152327,1769,452,177
2,1,2022,2022-01-03,2022-01-09,163705,2258,498,205
5,2,2022,2022-01-10,2022-01-16,198527,2640,522,256
8,3,2022,2022-01-17,2022-01-23,212570,2843,522,299
11,4,2022,2022-01-24,2022-01-30,152728,3062,464,326
14,5,2022,2022-01-31,2022-02-06,86813,2841,391,311
17,6,2022,2022-02-07,2022-02-13,49587,2323,334,253
20,7,2022,2022-02-14,2022-02-20,34633,1852,267,175
23,8,2022,2022-02-21,2022-02-27,28402,1344,197,111
26,9,2022,2022-02-28,2022-03-06,31049,1166,161,73
29,10,2022,2022-03-07,2022-03-13,28033,1016,130,67
32,11,2022,2022-03-14,2022-03-20,25384,986,108,55
35,12,2022,2022-03-21,2022-03-27,19009,869,87,47
38,13,2022,2022-03-28,2022-04-03,11031,811,60,36
41,14,2022,2022-04-04,2022-04-10,12274,878,55,46
44,15,2022,2022-04-11,2022-04-17,11579,937,34,54
47,16,2022,2022-04-18,2022-04-24,15011,978,31,54
50,17,2022,2022-04-25,2022-05-01,18614,942,28,51
53,18,2022,2022-05-02,2022-05-08,23595,1046,30,50
56,19,2022,2022-05-09,2022-05-15,24280,1125,27,83
59,20,2022,2022-05-16,2022-05-22,22062,1157,32,77
62,21,2022,2022-05-23,2022-05-29,17798,1152,36,69
65,22,2022,2022-05-30,2022-06-05,19025,1179,29,72
68,23,2022,2022-06-06,2022-06-12,20615,1298,31,67
71,24,2022,2022-06-13,2022-06-19,27554,1500,36,86
74,25,2022,2022-06-20,2022-06-26,37418,1893,46,114
77,26,2022,2022-06-27,2022-07-03,44997,2139,51,134
80,27,2022,2022-07-04,2022-07-10,41190,2015,50,211
83,28,2022,2022-07-11,2022-07-17,29451,1805,50,205
86,29,2022,2022-07-18,2022-07-24,15677,1530,51,166
89,30,2022,2022-07-25,2022-07-31,9477,1289,42,109
92,31,2022,2022-08-01,2022-08-07,6849,1024,33,74
95,32,2022,2022-08-08,2022-08-14,4723,758,26,70
98,33,2022,2022-08-15,2022-08-21,3704,661,20,33
101,34,2022,2022-08-22,2022-08-28,3776,546,16,37
104,35,2022,2022-08-29,2022-09-04,3533,524,9,35
107,36,2022,2022-09-05,2022-09-11,3362,424,11,22
110,37,2022,2022-09-12,2022-09-18,3916,392,13,20
113,38,2022,2022-09-19,2022-09-25,4102,377,12,11
116,39,2022,2022-09-26,2022-10-02,4367,400,16,21
119,40,2022,2022-10-03,2022-10-09,5750,440,13,23
122,41,2022,2022-10-10,2022-10-16,5819,540,16,25
125,42,2022,2022-10-17,2022-10-23,6639,521,17,26
128,43,2022,2022-10-24,2022-10-30,6787,491,14,34
131,44,2022,2022-10-31,2022-11-06,6809,527,24,23
134,45,2022,2022-11-07,2022-11-13,8600,0,21,32
137,46,2022,2022-11-14,2022-11-20,9859,0,24,37
